iter	Passed	Remaining
430	2285	24227
431	2289	24204
432	2294	24199
433	2298	24186
434	2301	24153
435	2305	24130
436	2308	24103
437	2312	24083
438	2318	24092
439	2323	24082
440	2334	24130
441	2337	24106
442	2340	24075
443	2344	24053
444	2346	24021
445	2349	23993
446	2356	24003
447	2366	24047
448	2375	24081
449	2382	24093
450	2386	24074
451	2392	24075
452	2396	24057
453	2401	24048
454	2406	24037
455	2414	24064
456	2419	24054
457	2425	24053
458	2429	24035
459	2433	24013
460	2436	23988
461	2441	23983
462	2447	23983
463	2457	24020
464	2466	24056
465	2471	24050
466	2475	24030
467	2480	24016
468	2485	24008
469	2490	24007
470	2494	23985
471	2499	23977
472	2507	23995
473	2512	23986
474	2520	24006
475	2531	24058
476	2537	24059
477	2541	24043
478	2545	24028
479	2549	24006
480	2553	23986
481	2558	23979
482	2564	23986
483	2573	24016
484	2577	23998
485	2585	24016
486	2589	23997
487	2598	24022
488	2604	24028
489	2608	24006
490	2611	23984
491	2617	23981
492	2625	23997
493	2628	23980
494	2637	24006
495	2647	24037
496	2650	24016
497	2653	23989
498	2656	23961
499	2659	23935
500	2665	23937
501	2669	23919
502	2673	23899
503	2677	23881
504	2681	23870
505	2685	23855
506	2691	23855
507	2703	23904
508	2707	23892
509	2712	23879
510	2717	23874
511	2724	23885
512	2731	23888
513	2735	23878
514	2741	23874
515	2745	23855
516	2748	23833
517	2751	23807
518	2759	23828
519	2765	23824
520	2769	23806
521	2772	23787
522	2781	23809
523	2787	23807
524	2789	23778
525	2795	23775
526	2800	23767
527	2803	23742
528	2806	23718
529	2812	23718
530	2817	23709
531	2820	23691
532	2824	23675
533	2829	23660
534	2834	23658
535	2838	23636
536	2843	23628
537	2846	23605
538	2851	23596
539	2857	23598
540	2861	23585
541	2864	23560
542	2868	23543
543	2879	23585
544	2884	23582
545	2888	23560
546	2891	23535
547	2896	23528
548	2900	23511
549	2908	23530
550	2917	23558
551	2923	23557
552	2927	23538
553	2952	23693
554	2965	23750
555	2969	23731
556	2972	23712
557	2975	23684
558	2981	23684
559	2985	23670
560	2996	23711
561	3000	23696
562	3006	23697
563	3010	23676
564	3014	23659
565	3019	23655
566	3024	23644
567	3030	23650
568	3035	23640
569	3039	23621
570	3042	23599
571	3045	23572
572	3049	23557
573	3053	23542
574	3058	23540
575	3062	23522
576	3072	23551
577	3077	23545
578	3080	23523
579	3086	23519
580	3089	23499
581	3093	23483
582	3097	23467
583	3104	23477
584	3112	23488
585	3117	23485
586	3125	23498
587	3129	23483
588	3132	23458
589	3135	23438
590	3139	23424
591	3147	23435
592	3150	23412
593	3155	23405
594	3160	23401
595	3171	23435
596	3178	23439
597	3184	23439
598	3187	23422
599	3191	23405
600	3195	23391
601	3200	23378
602	3203	23363
603	3208	23352
604	3219	23389
605	3223	23376
606	3228	23366
607	3238	23391
608	3242	23380
609	3247	23367
610	3251	23359
611	3264	23408
612	3271	23409
613	3274	23388
614	3276	23365
615	3281	23354
616	3286	23348
617	3302	23413
618	3312	23445
619	3315	23423
620	3320	23414
621	3323	23396
622	3327	23376
623	3334	23380
624	3340	23383
625	3345	23378
626	3352	23380
627	3360	23397
628	3367	23398
629	3372	23394
630	3377	23388
631	3381	23371
632	3385	23353
633	3388	23336
634	3391	23311
635	3395	23299
636	3398	23278
637	3401	23254
638	3407	23254
639	3413	23252
640	3428	23314
641	3432	23301
642	3436	23284
643	3442	23283
644	3448	23281
645	3456	23297
646	3462	23294
647	3477	23352
648	3481	23343
649	3494	23388
650	3497	23367
651	3503	23361
652	3507	23346
653	3510	23330
654	3514	23310
655	3518	23296
656	3522	23286
657	3526	23271
658	3531	23264
659	3535	23245
660	3537	23222
661	3540	23199
662	3542	23175
663	3545	23153
664	3548	23129
665	3551	23109
666	3554	23090
667	3557	23068
668	3559	23045
669	3563	23031
670	3568	23023
671	3571	23002
672	3578	23006
673	3582	22996
674	3586	22979
675	3589	22959
676	3594	22955
677	3599	22944
678	3604	22936
679	3608	22924
680	3613	22920
681	3619	22913
682	3626	22924
683	3633	22930
684	3637	22915
685	3644	22918
686	3647	22901
687	3653	22899
688	3657	22886
689	3664	22887
690	3669	22885
691	3679	22908
692	3684	22899
693	3687	22877
694	3691	22863
695	3693	22842
696	3697	22824
697	3700	22806
698	3702	22784
699	3710	22790
700	3716	22790
701	3724	22802
702	3730	22802
703	3734	22791
704	3740	22788
705	3744	22777
706	3748	22760
707	3751	22741
708	3758	22749
709	3761	22729
710	3764	22711
711	3768	22698
712	3772	22681
713	3777	22676
714	3781	22663
715	3785	22647
716	3788	22629
717	3793	22621
718	3800	22629
719	3806	22629
720	3809	22610
721	3813	22595
722	3817	22580
723	3820	22565
724	3826	22563
725	3830	22551
726	3842	22581
727	3845	22567
728	3849	22551
729	3854	22548
730	3867	22583
731	3871	22572
732	3876	22568
733	3879	22547
734	3884	22542
735	3887	22524
736	3892	22513
737	3898	22514
738	3903	22508
739	3910	22510
740	3915	22505
741	3920	22500
742	3923	22481
743	3926	22461
744	4036	23054
745	4060	23153
746	4063	23134
747	4066	23116
748	4071	23108
749	4075	23094
750	4080	23086
751	4087	23091
752	4090	23072
753	4095	23063
754	4100	23056
755	4107	23057
756	4118	23085
757	4121	23065
758	4124	23048
759	4129	23040
760	4133	23025
761	4139	23023
762	4146	23027
763	4151	23016
764	4154	22998
765	4160	22994
766	4163	22977
767	4168	22967
768	4170	22946
769	4173	22924
770	4176	22907
771	4181	22899
772	4187	22899
773	4191	22883
774	4196	22879
775	4201	22871
776	4205	22855
777	4213	22864
778	4216	22844
779	4218	22822
780	4225	22828
781	4228	22807
782	4231	22789
783	4234	22769
784	4236	22747
785	4240	22732
786	4246	22732
787	4258	22762
788	4263	22753
789	4265	22733
790	4268	22711
791	4271	22694
792	4273	22672
793	4276	22656
794	4279	22637
795	4282	22619
796	4285	22600
797	4289	22588
798	4293	22573
799	4297	22562
800	4306	22574
801	4311	22568
802	4314	22549
803	4321	22554
804	4324	22538
805	4328	22521
806	4330	22501
807	4334	22485
808	4341	22491
809	4344	22473
810	4349	22465
811	4353	22452
812	4357	22443
813	4360	22425
814	4363	22406
815	4366	22390
816	4369	22370
817	4372	22352
818	4378	22352
819	4383	22345
820	4388	22336
821	4391	22321
822	4395	22307
823	4400	22299
824	4403	22285
825	4407	22271
826	4410	22252
827	4416	22251
828	4419	22236
829	4422	22216
830	4425	22199
831	4427	22180
832	4431	22168
833	4436	22160
834	4439	22145
835	4452	22179
836	4459	22178
837	4463	22170
838	4468	22163
839	4475	22163
840	4479	22150
841	4486	22154
842	4491	22146
843	4496	22139
844	4503	22145
845	4507	22133
846	4520	22164
847	4523	22148
848	4527	22137
849	4531	22125
850	4536	22119
851	4541	22109
852	4545	22096
853	4550	22092
854	4554	22078
855	4559	22071
856	4562	22054
857	4569	22060
858	4573	22048
859	4576	22031
860	4582	22026
861	4584	22009
862	4588	21993
863	4593	21989
864	4599	21986
865	4605	21986
866	4611	21984
867	4618	21984
868	4625	21990
869	4631	21984
870	4644	22016
871	4651	22020
872	4661	22034
873	4667	22032
874	4671	22020
875	4678	22023
876	4709	22139
877	4721	22167
878	4736	22206
879	4748	22231
880	4760	22255
881	4764	22243
882	4769	22236
883	4777	22245
884	4792	22285
